Date, Open, High, Low, Close
07/25/16, 6730.48, 6756.13, 6691.03, 6710.13
07/22/16, 6699.89, 6735.94, 6663.72, 6730.48
07/21/16, 6728.99, 6732.07, 6694.52, 6699.89
07/20/16, 6697.37, 6736.57, 6694.36, 6728.99
07/19/16, 6695.42, 6711.69, 6660.87, 6697.37
07/18/16, 6669.24, 6715.58, 6653.67, 6695.42
07/15/16, 6654.47, 6669.24, 6616.51, 6669.24
07/14/16, 6670.40, 6743.42, 6648.40, 6654.47
07/13/16, 6680.69, 6717.17, 6654.64, 6670.40
07/12/16, 6682.86, 6703.09, 6663.66, 6680.69
07/11/16, 6590.64, 6695.07, 6590.64, 6682.86
07/08/16, 6533.79, 6605.83, 6515.24, 6590.64
07/07/16, 6463.59, 6579.25, 6463.59, 6533.79
07/06/16, 6545.37, 6580.32, 6432.47, 6463.59
07/05/16, 6522.26, 6561.58, 6472.25, 6545.37
07/04/16, 6577.83, 6612.13, 6514.81, 6522.26
07/01/16, 6504.33, 6587.44, 6498.56, 6577.83
06/30/16, 6360.06, 6504.33, 6309.98, 6504.33
06/29/16, 6140.39, 6360.06, 6140.39, 6360.06
06/28/16, 5982.20, 6170.26, 5982.20, 6140.39
06/27/16, 6138.69, 6138.69, 5958.66, 5982.20
06/24/16, 6338.10, 6338.55, 5788.74, 6138.69
06/23/16, 6261.19, 6380.58, 6261.19, 6338.10
06/22/16, 6226.55, 6315.62, 6222.01, 6261.19
06/21/16, 6204.00, 6250.19, 6156.23, 6226.55
06/20/16, 6021.09, 6236.53, 6021.09, 6204.00
06/17/16, 5950.48, 6046.10, 5950.48, 6021.09
06/16/16, 5966.80, 5966.80, 5899.97, 5950.48
06/15/16, 5923.53, 6007.49, 5923.39, 5966.80
06/14/16, 6044.97, 6044.97, 5921.72, 5923.53
06/13/16, 6115.76, 6115.76, 6044.97, 6044.97
06/10/16, 6231.89, 6231.89, 6097.24, 6115.76
06/09/16, 6301.52, 6301.73, 6229.07, 6231.89
06/08/16, 6284.53, 6304.51, 6263.80, 6301.52
06/07/16, 6273.40, 6322.60, 6273.40, 6284.53
06/06/16, 6209.63, 6301.56, 6209.63, 6273.40
06/03/16, 6185.61, 6251.74, 6168.19, 6209.63
06/02/16, 6191.93, 6220.27, 6173.05, 6185.61
06/01/16, 6230.79, 6233.18, 6151.90, 6191.93
05/31/16, 6270.79, 6290.07, 6230.11, 6230.79
05/27/16, 6265.65, 6275.90, 6250.27, 6270.79
05/26/16, 6262.85, 6281.73, 6243.49, 6265.65
05/25/16, 6219.26, 6270.25, 6219.26, 6262.85
05/24/16, 6136.43, 6231.85, 6109.58, 6219.26
05/23/16, 6156.32, 6173.06, 6122.57, 6136.43
05/20/16, 6053.35, 6156.50, 6053.35, 6156.32
05/19/16, 6165.80, 6165.80, 6050.21, 6053.35
05/18/16, 6167.77, 6169.33, 6115.99, 6165.80
05/17/16, 6151.40, 6215.88, 6147.16, 6167.77
05/16/16, 6138.50, 6157.24, 6092.21, 6151.40
05/13/16, 6104.19, 6138.50, 6060.10, 6138.50
05/12/16, 6162.49, 6193.21, 6094.14, 6104.19
05/11/16, 6156.65, 6172.72, 6131.22, 6162.49
05/10/16, 6114.81, 6180.19, 6114.81, 6156.65
05/09/16, 6125.70, 6177.60, 6108.37, 6114.81
05/06/16, 6117.25, 6129.90, 6054.74, 6125.70
05/05/16, 6112.02, 6152.59, 6102.29, 6117.25
05/04/16, 6185.59, 6185.59, 6100.76, 6112.02
05/03/16, 6241.89, 6270.03, 6159.86, 6185.59
04/29/16, 6322.40, 6322.40, 6241.89, 6241.89
04/28/16, 6319.91, 6322.40, 6224.47, 6322.40
04/27/16, 6284.52, 6319.91, 6255.20, 6319.91
04/26/16, 6260.92, 6297.88, 6260.92, 6284.52
04/25/16, 6310.44, 6324.60, 6249.34, 6260.92
04/22/16, 6381.44, 6381.58, 6289.34, 6310.44
04/21/16, 6410.26, 6427.32, 6352.93, 6381.44
04/20/16, 6405.35, 6421.91, 6367.36, 6410.26
04/19/16, 6353.52, 6418.25, 6353.49, 6405.35
04/18/16, 6343.75, 6354.88, 6261.71, 6353.52
04/15/16, 6365.10, 6372.52, 6328.19, 6343.75
04/14/16, 6362.89, 6373.93, 6335.40, 6365.10
04/13/16, 6242.39, 6362.89, 6242.39, 6362.89
04/12/16, 6200.12, 6248.27, 6176.28, 6242.39
04/11/16, 6204.41, 6229.66, 6165.46, 6200.12
04/08/16, 6136.89, 6216.28, 6136.89, 6204.41
04/07/16, 6161.63, 6204.11, 6119.38, 6136.89
04/06/16, 6091.23, 6161.63, 6091.23, 6161.63
04/05/16, 6164.72, 6164.74, 6061.85, 6091.23
04/04/16, 6146.05, 6201.95, 6132.90, 6164.72
04/01/16, 6174.90, 6174.90, 6076.89, 6146.05
03/31/16, 6203.17, 6203.39, 6149.82, 6174.90
03/30/16, 6105.90, 6221.80, 6105.90, 6203.17
03/29/16, 6106.48, 6156.67, 6070.77, 6105.90
03/24/16, 6199.11, 6199.11, 6090.03, 6106.48
03/23/16, 6192.74, 6216.76, 6171.13, 6199.11
03/22/16, 6184.58, 6193.47, 6110.39, 6192.74
03/21/16, 6189.64, 6215.30, 6154.12, 6184.58
03/18/16, 6201.12, 6237.02, 6186.24, 6189.64
03/17/16, 6175.49, 6220.02, 6125.70, 6201.12
03/16/16, 6139.97, 6186.18, 6134.27, 6175.49
03/15/16, 6174.57, 6174.57, 6114.77, 6139.97
03/14/16, 6139.79, 6197.83, 6139.79, 6174.57
03/11/16, 6036.70, 6150.88, 6036.70, 6139.79
03/10/16, 6146.32, 6203.40, 6036.70, 6036.70
03/09/16, 6125.44, 6174.82, 6118.23, 6146.32
03/08/16, 6182.40, 6182.45, 6101.89, 6125.44
03/07/16, 6199.43, 6216.10, 6125.64, 6182.40
03/04/16, 6130.46, 6204.14, 6130.46, 6199.43
03/03/16, 6147.06, 6173.70, 6108.35, 6130.46
03/02/16, 6152.88, 6194.01, 6097.77, 6147.06
03/01/16, 6097.09, 6153.75, 6070.51, 6152.88
02/29/16, 6096.01, 6104.98, 6033.21, 6097.09
02/26/16, 6012.81, 6115.37, 6012.81, 6096.01
02/25/16, 5867.18, 6028.97, 5867.18, 6012.81
02/24/16, 5962.31, 5966.73, 5845.55, 5867.18
02/23/16, 6037.73, 6037.73, 5954.18, 5962.31
02/22/16, 5950.23, 6065.81, 5950.23, 6037.73
02/19/16, 5971.95, 6001.22, 5916.26, 5950.23
02/18/16, 6030.32, 6036.46, 5948.25, 5971.95
02/17/16, 5862.17, 6030.32, 5862.17, 6030.32
02/16/16, 5824.28, 5880.72, 5812.49, 5862.17
02/15/16, 5707.60, 5844.53, 5707.60, 5824.28
02/12/16, 5536.97, 5707.60, 5536.97, 5707.60
02/11/16, 5672.30, 5672.30, 5499.51, 5536.97
02/10/16, 5632.19, 5712.78, 5616.88, 5672.30
02/09/16, 5689.36, 5739.25, 5596.26, 5632.19
02/08/16, 5848.06, 5882.43, 5666.13, 5689.36
02/05/16, 5898.76, 5945.90, 5839.36, 5848.06
02/04/16, 5837.14, 5938.12, 5831.12, 5898.76
02/03/16, 5922.01, 5924.58, 5791.04, 5837.14
02/02/16, 6060.10, 6060.45, 5889.60, 5922.01
02/01/16, 6083.79, 6115.11, 5993.84, 6060.10
01/29/16, 5931.78, 6083.79, 5931.78, 6083.79
01/28/16, 5990.37, 6020.54, 5889.37, 5931.78
01/27/16, 5911.46, 5990.37, 5870.75, 5990.37
01/26/16, 5877.00, 5919.17, 5771.37, 5911.46
01/25/16, 5900.01, 5933.47, 5851.83, 5877.00
01/22/16, 5773.79, 5926.94, 5773.79, 5900.01
01/21/16, 5673.58, 5781.24, 5659.15, 5773.79
01/20/16, 5876.80, 5876.80, 5639.88, 5673.58
01/19/16, 5779.92, 5915.69, 5779.92, 5876.80
01/18/16, 5804.10, 5852.09, 5766.50, 5779.92
01/15/16, 5918.23, 5934.62, 5769.23, 5804.10
01/14/16, 5960.97, 5960.97, 5829.26, 5918.23
01/13/16, 5929.24, 6011.13, 5929.24, 5960.97
01/12/16, 5871.83, 5985.80, 5866.67, 5929.24
01/11/16, 5912.44, 5941.93, 5871.83, 5871.83
01/08/16, 5954.08, 6013.38, 5912.44, 5912.44
01/07/16, 6073.38, 6073.38, 5887.97, 5954.08
01/06/16, 6137.24, 6137.24, 6018.65, 6073.38
01/05/16, 6093.43, 6166.26, 6079.23, 6137.24
01/04/16, 6242.32, 6242.32, 6071.01, 6093.43
12/31/15, 6274.05, 6278.31, 6233.03, 6242.32
12/30/15, 6314.57, 6314.57, 6261.48, 6274.05
12/29/15, 6254.64, 6314.57, 6245.24, 6314.57
12/24/15, 6240.98, 6259.86, 6236.85, 6254.64
12/23/15, 6083.10, 6248.50, 6083.10, 6240.98
12/22/15, 6034.84, 6090.58, 6031.82, 6083.10
12/21/15, 6052.42, 6113.96, 6034.84, 6034.84
12/18/15, 6102.54, 6105.57, 6051.74, 6052.42
12/17/15, 6061.19, 6160.78, 6061.19, 6102.54
12/16/15, 6017.79, 6089.31, 6016.25, 6061.19
12/15/15, 5874.06, 6036.68, 5874.06, 6017.79
12/14/15, 5952.78, 6009.92, 5871.88, 5874.06
12/11/15, 6088.05, 6088.05, 5949.84, 5952.78
12/10/15, 6126.68, 6127.09, 6079.96, 6088.05
12/09/15, 6135.22, 6175.75, 6101.22, 6126.68
12/08/15, 6223.52, 6224.86, 6120.68, 6135.22
12/07/15, 6238.29, 6287.23, 6215.17, 6223.52
12/04/15, 6275.00, 6277.59, 6219.50, 6238.29
12/03/15, 6420.93, 6444.72, 6275.00, 6275.00
12/02/15, 6395.65, 6447.34, 6395.20, 6420.93
12/01/15, 6356.09, 6402.36, 6356.09, 6395.65
11/30/15, 6375.15, 6387.11, 6329.92, 6356.09
11/27/15, 6393.13, 6393.13, 6345.30, 6375.15
11/26/15, 6337.64, 6395.33, 6333.92, 6393.13
11/25/15, 6277.23, 6348.05, 6277.23, 6337.64
11/24/15, 6305.49, 6305.49, 6221.33, 6277.23
11/23/15, 6334.63, 6334.63, 6267.05, 6305.49
11/20/15, 6329.93, 6360.73, 6311.76, 6334.63
11/19/15, 6278.97, 6366.85, 6278.97, 6329.93
11/18/15, 6268.76, 6283.90, 6228.15, 6278.97
11/17/15, 6146.38, 6269.44, 6146.38, 6268.76
11/16/15, 6118.28, 6161.90, 6079.79, 6146.38
11/13/15, 6178.68, 6178.95, 6088.76, 6118.28
11/12/15, 6297.20, 6300.90, 6178.68, 6178.68
11/11/15, 6275.28, 6327.16, 6272.69, 6297.20
11/10/15, 6295.16, 6329.69, 6250.31, 6275.28
11/09/15, 6353.83, 6380.42, 6292.05, 6295.16
11/06/15, 6364.90, 6395.19, 6332.73, 6353.83
11/05/15, 6412.88, 6421.81, 6358.12, 6364.90
11/04/15, 6383.61, 6459.46, 6383.04, 6412.88
11/03/15, 6361.80, 6383.61, 6344.70, 6383.61
11/02/15, 6361.09, 6364.42, 6317.29, 6361.80
10/30/15, 6395.80, 6410.28, 6337.65, 6361.09
10/29/15, 6437.80, 6437.85, 6358.16, 6395.80
10/28/15, 6365.27, 6448.46, 6355.78, 6437.80
10/27/15, 6417.02, 6419.62, 6365.27, 6365.27
10/26/15, 6444.08, 6453.00, 6405.38, 6417.02
10/23/15, 6376.28, 6487.89, 6376.28, 6444.08
10/22/15, 6348.42, 6387.28, 6321.65, 6376.28
10/21/15, 6345.13, 6387.29, 6316.30, 6348.42
10/20/15, 6352.33, 6367.75, 6319.25, 6345.13
10/19/15, 6378.04, 6408.09, 6336.27, 6352.33
10/16/15, 6338.67, 6398.23, 6338.67, 6378.04
10/15/15, 6269.61, 6351.43, 6269.61, 6338.67
10/14/15, 6342.28, 6342.28, 6268.29, 6269.61
10/13/15, 6371.18, 6371.18, 6303.02, 6342.28
10/12/15, 6416.16, 6416.16, 6351.34, 6371.18
10/09/15, 6374.82, 6453.22, 6374.82, 6416.16
10/08/15, 6336.35, 6380.30, 6303.46, 6374.82
10/07/15, 6326.16, 6396.34, 6319.77, 6336.35
10/06/15, 6298.92, 6343.71, 6255.10, 6326.16
10/05/15, 6129.98, 6301.05, 6129.98, 6298.92
10/02/15, 6072.47, 6176.20, 6051.62, 6129.98
10/01/15, 6061.61, 6172.78, 6053.26, 6072.47
09/30/15, 5909.24, 6061.61, 5909.24, 6061.61
09/29/15, 5958.86, 5958.86, 5877.08, 5909.24
09/28/15, 6109.01, 6110.31, 5958.86, 5958.86
09/25/15, 5961.49, 6120.67, 5961.49, 6109.01
09/24/15, 6032.24, 6055.64, 5947.19, 5961.49
09/23/15, 5935.84, 6067.56, 5933.23, 6032.24
09/22/15, 6108.71, 6111.57, 5935.84, 5935.84
09/21/15, 6104.11, 6168.74, 6083.64, 6108.71
09/18/15, 6186.99, 6188.74, 6053.87, 6104.11
09/17/15, 6229.21, 6239.86, 6182.63, 6186.99
09/16/15, 6137.60, 6244.94, 6137.60, 6229.21
09/15/15, 6084.59, 6158.08, 6019.92, 6137.60
09/14/15, 6117.76, 6191.82, 6065.43, 6084.59
09/11/15, 6155.81, 6174.28, 6113.10, 6117.76
09/10/15, 6229.01, 6229.01, 6127.52, 6155.81
09/09/15, 6146.10, 6284.17, 6146.10, 6229.01
09/08/15, 6074.52, 6196.47, 6074.52, 6146.10
09/07/15, 6042.92, 6125.67, 6042.92, 6074.52
09/04/15, 6194.10, 6194.10, 6040.49, 6042.92
09/03/15, 6083.31, 6215.74, 6083.31, 6194.10
09/02/15, 6058.54, 6161.68, 6021.36, 6083.31
09/01/15, 6247.94, 6247.94, 6028.71, 6058.54
08/28/15, 6192.03, 6247.94, 6152.01, 6247.94
08/27/15, 5979.20, 6212.48, 5979.20, 6192.03
08/26/15, 6081.34, 6095.05, 5949.94, 5979.20
08/25/15, 5898.87, 6115.74, 5898.87, 6081.34
08/24/15, 6187.65, 6187.65, 5768.22, 5898.87
08/21/15, 6367.89, 6367.89, 6187.65, 6187.65
08/20/15, 6403.45, 6408.61, 6359.71, 6367.89
08/19/15, 6526.29, 6526.52, 6403.45, 6403.45
08/18/15, 6550.30, 6564.55, 6505.69, 6526.29
08/17/15, 6550.74, 6585.88, 6507.76, 6550.30
08/14/15, 6568.33, 6603.17, 6544.42, 6550.74
08/13/15, 6571.19, 6634.71, 6553.45, 6568.33
08/12/15, 6664.54, 6664.54, 6536.41, 6571.19
08/11/15, 6736.22, 6736.22, 6663.98, 6664.54
08/10/15, 6718.49, 6751.49, 6653.65, 6736.22
08/07/15, 6747.09, 6754.77, 6718.49, 6718.49
08/06/15, 6752.41, 6763.34, 6717.49, 6747.09
08/05/15, 6686.57, 6764.82, 6686.57, 6752.41
08/04/15, 6688.62, 6715.51, 6644.65, 6686.57
08/03/15, 6696.28, 6710.79, 6668.18, 6688.62
07/31/15, 6668.87, 6705.42, 6646.26, 6696.28
07/30/15, 6631.00, 6697.40, 6631.00, 6668.87
07/29/15, 6555.28, 6634.04, 6555.28, 6631.00
07/28/15, 6505.13, 6569.45, 6505.13, 6555.28
07/27/15, 6579.81, 6589.48, 6495.67, 6505.13
07/24/15, 6655.01, 6684.81, 6573.96, 6579.81
07/23/15, 6667.34, 6711.49, 6644.85, 6655.01
07/22/15, 6769.07, 6769.07, 6653.39, 6667.34
07/21/15, 6788.69, 6800.13, 6758.75, 6769.07
07/20/15, 6775.08, 6813.41, 6772.09, 6788.69
07/17/15, 6796.45, 6799.78, 6764.80, 6775.08
07/16/15, 6753.75, 6805.14, 6752.09, 6796.45
07/15/15, 6753.75, 6775.91, 6728.49, 6753.75
07/14/15, 6737.95, 6753.75, 6710.62, 6753.75
07/13/15, 6673.38, 6743.05, 6673.38, 6737.95
07/10/15, 6581.63, 6687.57, 6581.63, 6673.38
07/09/15, 6490.70, 6594.18, 6490.70, 6581.63
07/08/15, 6432.21, 6515.06, 6430.36, 6490.70
07/07/15, 6535.68, 6543.80, 6432.21, 6432.21
07/06/15, 6585.78, 6585.78, 6506.71, 6535.68
07/03/15, 6630.47, 6630.75, 6572.46, 6585.78
07/02/15, 6608.59, 6647.70, 6600.37, 6630.47
07/01/15, 6520.98, 6637.34, 6520.98, 6608.59
06/30/15, 6620.48, 6620.75, 6520.98, 6520.98
06/29/15, 6753.70, 6753.70, 6598.64, 6620.48
06/26/15, 6807.82, 6807.82, 6731.13, 6753.70
06/25/15, 6844.80, 6869.04, 6798.80, 6807.82
06/24/15, 6834.87, 6873.43, 6834.32, 6844.80
06/23/15, 6825.67, 6856.49, 6825.67, 6834.87
06/22/15, 6710.45, 6825.67, 6710.45, 6825.67
06/19/15, 6707.88, 6759.29, 6691.82, 6710.45
06/18/15, 6680.55, 6707.88, 6625.16, 6707.88
06/17/15, 6710.10, 6731.54, 6665.95, 6680.55
06/16/15, 6710.52, 6723.49, 6656.90, 6710.10
06/15/15, 6784.92, 6784.92, 6708.50, 6710.52
06/12/15, 6846.74, 6846.74, 6760.06, 6784.92
06/11/15, 6830.27, 6870.19, 6807.29, 6846.74
06/10/15, 6753.80, 6843.57, 6734.15, 6830.27
06/09/15, 6790.04, 6803.75, 6736.88, 6753.80
06/08/15, 6804.60, 6827.16, 6781.66, 6790.04
06/05/15, 6859.24, 6859.24, 6785.15, 6804.60
06/04/15, 6950.46, 6950.46, 6838.95, 6859.24
06/03/15, 6928.27, 6985.69, 6901.79, 6950.46
06/02/15, 6953.58, 6972.25, 6872.12, 6928.27
06/01/15, 6984.43, 7037.58, 6942.66, 6953.58
05/29/15, 7040.92, 7069.93, 6967.92, 6984.43
05/28/15, 7033.33, 7049.62, 7005.88, 7040.92
05/27/15, 6948.99, 7054.14, 6948.62, 7033.33
05/26/15, 7031.72, 7039.55, 6930.28, 6948.99
05/22/15, 7013.47, 7061.66, 7013.47, 7031.72
05/21/15, 7007.26, 7026.01, 6994.26, 7013.47
05/20/15, 6995.10, 7018.70, 6962.06, 7007.26
05/19/15, 6968.87, 7011.35, 6968.87, 6995.10
05/18/15, 6960.49, 7015.49, 6931.64, 6968.87
05/15/15, 6973.04, 7009.41, 6937.12, 6960.49
05/14/15, 6949.63, 6977.93, 6884.63, 6973.04
05/13/15, 6933.80, 6989.91, 6920.65, 6949.63
05/12/15, 7029.85, 7029.85, 6887.52, 6933.80
05/11/15, 7046.82, 7083.72, 7025.17, 7029.85
05/08/15, 6886.95, 7046.82, 6885.79, 7046.82
05/07/15, 6933.74, 6933.74, 6810.05, 6886.95
05/06/15, 6927.58, 6974.82, 6913.46, 6933.74
05/05/15, 6985.95, 7053.18, 6927.58, 6927.58
05/01/15, 6960.63, 6995.41, 6919.39, 6985.95
04/30/15, 6946.28, 6970.34, 6906.24, 6960.63
04/29/15, 7030.53, 7058.19, 6945.56, 6946.28
04/28/15, 7103.98, 7103.99, 6983.97, 7030.53
04/27/15, 7070.70, 7122.74, 7025.27, 7103.98
04/24/15, 7053.67, 7102.59, 7051.17, 7070.70
04/23/15, 7028.24, 7055.15, 6995.79, 7053.67
04/22/15, 7062.93, 7092.34, 6997.15, 7028.24
04/21/15, 7052.13, 7105.13, 7030.00, 7062.93
04/20/15, 6994.63, 7067.84, 6994.63, 7052.13
04/17/15, 7060.45, 7093.52, 6979.32, 6994.63
04/16/15, 7096.78, 7119.35, 7057.74, 7060.45
04/15/15, 7075.26, 7111.72, 7058.34, 7096.78
04/14/15, 7064.30, 7086.06, 7044.60, 7075.26
04/13/15, 7089.77, 7089.84, 7046.68, 7064.30
04/10/15, 7015.36, 7095.36, 7015.36, 7089.77
04/09/15, 6937.41, 7016.99, 6937.41, 7015.36
04/08/15, 6961.77, 7012.06, 6931.59, 6937.41
04/07/15, 6833.46, 6967.69, 6833.46, 6961.77
04/02/15, 6809.50, 6849.91, 6801.27, 6833.46
04/01/15, 6773.04, 6856.43, 6765.40, 6809.50
03/31/15, 6891.43, 6910.07, 6765.05, 6773.04
03/30/15, 6855.02, 6914.60, 6855.02, 6891.43
03/27/15, 6895.33, 6910.55, 6839.88, 6855.02
03/26/15, 6990.97, 6990.97, 6876.84, 6895.33
03/25/15, 7019.68, 7035.11, 6983.94, 6990.97
03/24/15, 7037.67, 7065.08, 7012.51, 7019.68
03/23/15, 7022.51, 7037.67, 6991.43, 7037.67
03/20/15, 6962.32, 7024.21, 6960.81, 7022.51
03/19/15, 6945.20, 6982.79, 6929.73, 6962.32
03/18/15, 6837.61, 6945.20, 6837.26, 6945.20
03/17/15, 6804.08, 6846.90, 6798.47, 6837.61
03/16/15, 6740.58, 6809.08, 6740.58, 6804.08
03/13/15, 6761.07, 6777.77, 6713.50, 6740.58
03/12/15, 6721.51, 6799.84, 6721.51, 6761.07
03/11/15, 6702.84, 6738.95, 6693.80, 6721.51
03/10/15, 6876.47, 6876.86, 6702.84, 6702.84
03/09/15, 6911.80, 6911.80, 6859.81, 6876.47
03/06/15, 6961.14, 6961.23, 6911.80, 6911.80
03/05/15, 6919.24, 6968.64, 6914.06, 6961.14
03/04/15, 6889.13, 6919.24, 6862.87, 6919.24
03/03/15, 6940.64, 6963.55, 6889.13, 6889.13
03/02/15, 6946.66, 6974.26, 6924.33, 6940.64
02/27/15, 6949.73, 6967.24, 6929.84, 6946.66
02/26/15, 6935.38, 6949.98, 6920.54, 6949.73
02/25/15, 6949.63, 6955.41, 6904.88, 6935.38
02/24/15, 6912.16, 6958.89, 6899.59, 6949.63
02/23/15, 6915.20, 6943.61, 6885.89, 6912.16
02/20/15, 6888.90, 6920.51, 6884.77, 6915.20
02/19/15, 6898.08, 6907.30, 6858.67, 6888.90
02/18/15, 6898.13, 6921.32, 6876.30, 6898.08
02/17/15, 6857.05, 6898.13, 6819.78, 6898.13
02/16/15, 6873.52, 6878.66, 6851.77, 6857.05
02/13/15, 6828.11, 6887.57, 6828.11, 6873.52
02/12/15, 6818.17, 6854.62, 6817.23, 6828.11
02/11/15, 6829.12, 6838.33, 6786.12, 6818.17
02/10/15, 6837.15, 6843.90, 6788.89, 6829.12
02/09/15, 6853.44, 6853.44, 6777.99, 6837.15
02/06/15, 6865.93, 6886.22, 6835.48, 6853.44
02/05/15, 6860.02, 6870.10, 6808.19, 6865.93
02/04/15, 6871.80, 6883.49, 6804.10, 6860.02
02/03/15, 6782.55, 6886.31, 6782.39, 6871.80
02/02/15, 6749.40, 6795.52, 6731.99, 6782.55
01/30/15, 6810.60, 6843.98, 6749.40, 6749.40
01/29/15, 6825.94, 6825.94, 6750.22, 6810.60
01/28/15, 6811.61, 6863.00, 6777.08, 6825.94
01/27/15, 6852.40, 6864.97, 6773.54, 6811.61
01/26/15, 6832.83, 6855.92, 6790.13, 6852.40
01/23/15, 6796.63, 6841.73, 6796.58, 6832.83
01/22/15, 6728.04, 6808.18, 6726.24, 6796.63
01/21/15, 6620.10, 6728.04, 6620.10, 6728.04
01/20/15, 6585.53, 6640.44, 6585.53, 6620.10
01/19/15, 6550.27, 6598.89, 6548.00, 6585.53
01/16/15, 6498.78, 6553.20, 6443.28, 6550.27
01/15/15, 6388.46, 6498.78, 6298.15, 6498.78
01/14/15, 6542.20, 6542.20, 6353.65, 6388.46
01/13/15, 6501.42, 6558.83, 6465.19, 6542.20
01/12/15, 6501.14, 6542.43, 6447.91, 6501.42
01/09/15, 6569.96, 6570.24, 6471.38, 6501.14
01/08/15, 6419.83, 6580.82, 6419.83, 6569.96
01/07/15, 6366.51, 6459.74, 6366.51, 6419.83
01/06/15, 6417.16, 6452.66, 6328.59, 6366.51
01/05/15, 6547.80, 6576.74, 6404.49, 6417.16
01/02/15, 6566.09, 6607.89, 6510.60, 6547.80
12/31/14, 6547.00, 6578.24, 6547.00, 6566.09
12/30/14, 6633.51, 6633.51, 6528.89, 6547.00
12/29/14, 6609.93, 6651.96, 6587.87, 6633.51
12/24/14, 6598.18, 6618.09, 6586.05, 6609.93
12/23/14, 6576.74, 6620.47, 6576.74, 6598.18
12/22/14, 6545.27, 6620.95, 6545.27, 6576.74
12/19/14, 6466.00, 6566.90, 6466.00, 6545.27
12/18/14, 6336.48, 6466.00, 6336.48, 6466.00
12/17/14, 6331.83, 6359.68, 6240.32, 6336.48
12/16/14, 6182.72, 6331.83, 6144.72, 6331.83
12/15/14, 6300.63, 6356.34, 6182.72, 6182.72
12/12/14, 6461.70, 6461.70, 6297.44, 6300.63
12/11/14, 6500.04, 6521.66, 6441.28, 6461.70
12/10/14, 6529.47, 6565.77, 6500.04, 6500.04
12/09/14, 6672.15, 6672.15, 6529.47, 6529.47
12/08/14, 6742.84, 6742.84, 6672.15, 6672.15
12/05/14, 6679.37, 6751.32, 6679.37, 6742.84
12/04/14, 6716.63, 6733.96, 6672.67, 6679.37
12/03/14, 6742.10, 6753.19, 6713.81, 6716.63
12/02/14, 6656.37, 6744.31, 6656.37, 6742.10
12/01/14, 6722.62, 6722.62, 6637.39, 6656.37
11/28/14, 6723.42, 6734.71, 6667.08, 6722.62
11/27/14, 6729.17, 6749.91, 6713.76, 6723.42
11/26/14, 6731.14, 6765.01, 6718.53, 6729.17
11/25/14, 6729.79, 6750.87, 6709.31, 6731.14
11/24/14, 6750.76, 6763.97, 6720.09, 6729.79
11/21/14, 6678.90, 6773.14, 6678.90, 6750.76
11/20/14, 6696.60, 6696.82, 6641.14, 6678.90
11/19/14, 6709.13, 6718.88, 6678.13, 6696.60
11/18/14, 6671.97, 6714.12, 6671.75, 6709.13
11/17/14, 6654.37, 6681.55, 6616.12, 6671.97
11/14/14, 6635.45, 6654.37, 6610.13, 6654.37
11/13/14, 6611.04, 6645.90, 6596.89, 6635.45
11/12/14, 6627.40, 6629.33, 6588.93, 6611.04
11/11/14, 6611.25, 6632.57, 6605.34, 6627.40
11/10/14, 6567.24, 6611.25, 6566.78, 6611.25
11/07/14, 6551.15, 6608.23, 6551.15, 6567.24
11/06/14, 6539.14, 6580.21, 6503.81, 6551.15
11/05/14, 6453.97, 6539.14, 6453.97, 6539.14
11/04/14, 6487.97, 6510.31, 6444.89, 6453.97
11/03/14, 6546.47, 6559.56, 6478.49, 6487.97
10/31/14, 6463.55, 6553.37, 6463.55, 6546.47
10/30/14, 6453.87, 6483.24, 6378.15, 6463.55
10/29/14, 6402.17, 6475.35, 6402.17, 6453.87
10/28/14, 6363.46, 6412.00, 6363.46, 6402.17
10/27/14, 6388.73, 6443.76, 6336.06, 6363.46
10/24/14, 6419.15, 6419.15, 6372.43, 6388.73
10/23/14, 6399.73, 6430.32, 6313.32, 6419.15
10/22/14, 6372.33, 6401.51, 6341.39, 6399.73
10/21/14, 6267.07, 6372.33, 6229.40, 6372.33
10/20/14, 6310.29, 6320.31, 6238.60, 6267.07
10/17/14, 6195.91, 6312.97, 6188.04, 6310.29
10/16/14, 6211.64, 6282.95, 6072.68, 6195.91
10/15/14, 6392.68, 6404.96, 6211.64, 6211.64
10/14/14, 6366.24, 6403.43, 6304.27, 6392.68
10/13/14, 6339.97, 6387.36, 6294.64, 6366.24
10/10/14, 6431.85, 6431.85, 6328.39, 6339.97
10/09/14, 6482.24, 6544.21, 6425.16, 6431.85
10/08/14, 6495.58, 6502.36, 6453.81, 6482.24
10/07/14, 6563.65, 6563.84, 6495.58, 6495.58
10/06/14, 6527.91, 6588.31, 6527.91, 6563.65
10/03/14, 6446.39, 6542.87, 6446.39, 6527.91
10/02/14, 6557.52, 6557.67, 6446.39, 6446.39
10/01/14, 6622.72, 6622.81, 6539.73, 6557.52
09/30/14, 6646.60, 6658.91, 6601.62, 6622.72
09/29/14, 6649.39, 6653.94, 6608.66, 6646.60
09/26/14, 6639.71, 6664.00, 6615.12, 6649.39
09/25/14, 6706.27, 6726.40, 6621.48, 6639.71
09/24/14, 6676.08, 6707.26, 6651.98, 6706.27
09/23/14, 6773.63, 6777.27, 6647.21, 6676.08
09/22/14, 6837.92, 6838.35, 6766.89, 6773.63
